SystemTimeStamp,meanX,meanY,meanValidity,lX,lY,lV,lPupil,lPupilV,rX,rY,rV,rPupil,rPupilV,participant,language,list,trialID,trial,trialType,phase,extra
107941864,0.490551442,0.464675933,1,0.487353772,0.440085739,1,3.386886597,1,0.493749112,0.489266127,1,3.33795166,1,1,spa,1,7,1,NA,prime,zapato
107941872,0.491455972,0.473774731,1,0.489495456,0.474202812,1,3.443252563,1,0.493416518,0.47334668,1,3.31187439,1,1,spa,1,7,1,NA,prime,zapato
107941880,0.490901947,0.434956551,1,0.487340569,0.416954696,1,3.305877686,1,0.494463354,0.452958405,1,3.276062012,1,1,spa,1,7,1,NA,prime,zapato
107941888,0.487609744,0.495819747,1,0.488602579,0.468505919,1,3.437896729,1,0.486616939,0.523133576,1,3.454452515,1,1,spa,1,7,1,NA,prime,zapato
107941896,0.491981864,0.492717385,1,0.489028782,0.489990324,1,3.485656738,1,0.494934916,0.495444417,1,3.38218689,1,1,spa,1,7,1,NA,prime,zapato
107941904,0.489952803,0.477715492,1,0.488791943,0.465547591,1,3.43081665,1,0.491113663,0.489883423,1,3.396362305,1,1,spa,1,7,1,NA,prime,zapato
107941912,0.490249157,0.49451527,1,0.492423385,0.483742356,1,3.467849731,1,0.488074958,0.505288184,1,3.425094604,1,1,spa,1,7,1,NA,prime,zapato
107941920,0.489896148,0.460875034,1,0.490297228,0.428383917,1,3.334854126,1,0.489495069,0.493366122,1,3.41053772,1,1,spa,1,7,1,NA,prime,zapato
107941928,0.490115464,0.492061585,1,0.486788392,0.491837978,1,3.483535767,1,0.493442565,0.492285192,1,3.411499023,1,1,spa,1,7,1,NA,prime,zapato
107941936,0.491007537,0.471006513,1,0.488142252,0.491638005,1,3.469055176,1,0.493872821,0.450375021,1,3.307647705,1,1,spa,1,7,1,NA,prime,zapato
107941944,0.487828791,0.489442945,1,0.489221781,0.471120447,1,3.432571411,1,0.486435831,0.507765412,1,3.45413208,1,1,spa,1,7,1,NA,prime,zapato
