"profile"	"language"	"ID"	"TimeBin"	"trialType"	"SamplesInAOI"	"SamplesTotal"	"Prop"	"Time"
"27"	"bilingual"	"cat"	"cognatepriming10"	8	"cognate"	17	29	58.6206896551724	400
"28"	"bilingual"	"cat"	"cognatepriming10"	9	"unrelated"	30	70	42.8571428571429	450
"29"	"bilingual"	"cat"	"cognatepriming10"	9	"noncognate"	7	25	28	450
"30"	"bilingual"	"cat"	"cognatepriming10"	9	"cognate"	24	36	66.6666666666667	450
"31"	"bilingual"	"cat"	"cognatepriming10"	10	"unrelated"	30	72	41.6666666666667	500
"32"	"bilingual"	"cat"	"cognatepriming10"	10	"noncognate"	12	35	34.2857142857143	500
"33"	"bilingual"	"cat"	"cognatepriming10"	10	"cognate"	24	35	68.5714285714286	500
"34"	"bilingual"	"cat"	"cognatepriming10"	11	"unrelated"	30	72	41.6666666666667	550
"35"	"bilingual"	"cat"	"cognatepriming10"	11	"noncognate"	12	37	32.4324324324324	550
"36"	"bilingual"	"cat"	"cognatepriming10"	11	"cognate"	21	29	72.4137931034483	550
"37"	"bilingual"	"cat"	"cognatepriming10"	12	"unrelated"	30	72	41.6666666666667	600
"38"	"bilingual"	"cat"	"cognatepriming10"	12	"noncognate"	12	42	28.5714285714286	600
"39"	"bilingual"	"cat"	"cognatepriming10"	12	"cognate"	24	36	66.6666666666667	600
"40"	"bilingual"	"cat"	"cognatepriming10"	13	"unrelated"	30	72	41.6666666666667	650
"41"	"bilingual"	"cat"	"cognatepriming10"	13	"noncognate"	12	41	29.2682926829268	650
"42"	"bilingual"	"cat"	"cognatepriming10"	13	"cognate"	24	36	66.6666666666667	650
"43"	"bilingual"	"cat"	"cognatepriming10"	14	"unrelated"	30	72	41.6666666666667	700
"44"	"bilingual"	"cat"	"cognatepriming10"	14	"noncognate"	15	39	38.4615384615385	700
"45"	"bilingual"	"cat"	"cognatepriming10"	14	"cognate"	24	36	66.6666666666667	700
"46"	"bilingual"	"cat"	"cognatepriming10"	15	"unrelated"	30	60	50	750
"47"	"bilingual"	"cat"	"cognatepriming10"	15	"noncognate"	18	42	42.8571428571429	750
"48"	"bilingual"	"cat"	"cognatepriming10"	15	"cognate"	24	36	66.6666666666667	750
"49"	"bilingual"	"cat"	"cognatepriming10"	16	"unrelated"	41	65	63.0769230769231	800
"50"	"bilingual"	"cat"	"cognatepriming10"	16	"noncognate"	18	42	42.8571428571429	800
